,Percentile,Clusters,Type,MCP_PercExtr,MCP,MCP_UpperLim,TotalPercSign,MeanCondProbSign,PercentSign,Area,Variables
0,P95,Clusters_4,MedExt_T850~Z500,42.323097463284384,8.559606930437031,7.953063885267275,51.802403204272366,8.249288854409102,90.93669011477232,MedExt,T850~Z500
1,P97,Clusters_4,MedExt_T850~Z500,43.77777777777778,5.3012671321437805,4.9282920469361144,51.55555555555556,5.149127743387732,88.7523139577934,MedExt,T850~Z500
2,P99,Clusters_4,MedExt_T850~Z500,48.0,1.9414743950478333,1.8063583815028903,52.666666666666664,1.9136281355055598,77.4305812661977,MedExt,T850~Z500
0,P95,Clusters_7,MedExt_T850~Z500,29.372496662216292,10.789766407119021,9.829488465396189,51.401869158878505,9.333782374363022,98.95594224361348,MedExt,T850~Z500
1,P97,Clusters_7,MedExt_T850~Z500,30.666666666666664,6.708927628103539,6.118355065195587,51.77777777777777,5.887814551791872,98.6523509811181,MedExt,T850~Z500
2,P99,Clusters_7,MedExt_T850~Z500,32.666666666666664,2.3771790808240887,2.15311004784689,48.66666666666667,2.1746753469999325,95.28322843391337,MedExt,T850~Z500
0,P95,Clusters_8,MedExt_T850~Z500,25.500667556742325,11.095505617977528,10.038119440914867,50.20026702269693,9.466383914424,98.37837837837839,MedExt,T850~Z500
1,P97,Clusters_8,MedExt_T850~Z500,26.666666666666668,6.842400448681997,6.210855949895616,49.77777777777778,5.955640034252796,98.34135505368383,MedExt,T850~Z500
2,P99,Clusters_8,MedExt_T850~Z500,29.333333333333332,2.443609022556391,2.2298456260720414,48.0,2.2157184402252086,94.77971121806739,MedExt,T850~Z500
0,P95,Clusters_9,MedExt_T850~Z500,25.100133511348467,11.648223645894001,10.53593179049939,51.00133511348464,9.72693990805613,99.82228804146612,MedExt,T850~Z500
1,P97,Clusters_9,MedExt_T850~Z500,26.222222222222225,7.346938775510205,6.6457352171637885,49.665924276169264,6.178075190472228,99.27434283598667,MedExt,T850~Z500
2,P99,Clusters_9,MedExt_T850~Z500,28.000000000000004,2.6476578411405294,2.4071166928309786,47.33333333333333,2.3624446140285493,97.80821917808218,MedExt,T850~Z500
0,P95,Clusters_10,MedExt_T850~Z500,23.09746328437917,12.022630834512023,10.832879695155144,51.935914552736975,9.895921251390458,99.42984079970381,MedExt,T850~Z500
1,P97,Clusters_10,MedExt_T850~Z500,24.444444444444443,7.600502512562814,6.859009254218836,51.111111111111114,6.278560536501662,99.17067752684191,MedExt,T850~Z500
2,P99,Clusters_10,MedExt_T850~Z500,26.666666666666668,2.763819095477387,2.5,46.0,2.420807120629667,96.92706405035172,MedExt,T850~Z500
0,P95,Clusters_11,MedExt_T850~Z500,21.628838451268358,12.265694597837786,11.031746031746032,52.0694259012016,10.059878689079518,99.97778600518326,MedExt,T850~Z500
1,P97,Clusters_11,MedExt_T850~Z500,22.88888888888889,7.736389684813753,6.97538100820633,51.111111111111114,6.3958644139134995,99.77786005183266,MedExt,T850~Z500
2,P99,Clusters_11,MedExt_T850~Z500,25.333333333333336,2.83363802559415,2.5396825396825395,46.0,2.470690704337175,97.34912995186967,MedExt,T850~Z500
0,P95,Clusters_12,MedExt_T850~Z500,20.160213618157545,13.280736357659434,11.882716049382717,51.26835781041388,10.45191841376365,100.0,MedExt,T850~Z500
